Time(s),F_x(N),F_y(N),F_z(N),T_x(Nm),T_y(Nm),T_z(Nm),P_x(m),P_y(m),P_z(m),O_x(rad),O_y(rad),O_z(rad),V_px(m/s),V_py(m/s),V_pz(m/s),V_ox(rad/s),V_oy(rad/s),V_oz(rad/s)
0.0,0.7072722288996,0.10773357532560081,2.4439815112020002,-0.005858920783900017,0.0053603993281000056,0.0013486070375999845,0.23248456418514252,0.04926101863384247,0.7204015254974365,1.4806149282269283,0.14654104755467026,-1.579712195244761,0.0,0.0,0.0,0.0,0.0,0.0
0.008883953094482422,0.7295355699996001,0.0876187244856012,2.2076475826019997,-0.006527227058900005,0.005434630473100007,0.0002647419325999887,0.23246930539608002,0.049267951399087906,0.7204274535179138,1.480763407172066,0.1464046411628541,-1.5795582580409164,-0.0017175674950351565,0.0007803694111963931,0.0029185228919542698,0.016713161760140642,-0.015354244936399615,0.01732755702415931
0.016527891159057617,0.7114669003596001,0.12361816894560076,2.5718900773019993,-0.0061085046489000065,0.005107425913100007,0.0012280520425999924,0.23245324194431305,0.04926616698503494,0.7204514741897583,1.4809943618772847,0.14647330895606894,-1.579422609901923,-0.002101462836467983,-0.00023344172047035338,0.0031424472100059263,0.03021409949528003,0.008983300575534627,0.01774584485737838
0.024634361267089844,0.6973349054196002,0.08901991378560098,2.3626235674019993,-0.007171806483900013,0.004728700193100007,-0.0002192858074000062,0.23243512213230133,0.049257319420576096,0.7204742431640625,1.4812550774304967,0.14650453767697957,-1.579392965357693,-0.0022352283756360107,-0.0010914201052910208,0.002808740919384724,0.032161415478929034,0.003852320491466229,0.0036568992218539375
0.03275322914123535,0.6997147031196002,0.11404559950560107,2.5478074142219995,-0.006048961553900013,0.005716528048100008,0.0015117573775999846,0.2324376404285431,0.049311548471450806,0.7205082774162292,1.4815719512965495,0.1459525890057093,-1.5786216991676805,0.0003101782515490559,0.006679385810354447,0.004191994831586057,0.03902931676741766,-0.06798345284420301,0.09499676580138064
0.04137563705444336,0.6938430527196,0.1069640332656009,2.205814915962,-0.005709667598900015,0.005101324723100007,6.46454975999924e-05,0.23239320516586304,0.049244750291109085,0.7205069065093994,1.4818672319747257,0.14647698869888312,-1.5791571109532436,-0.00515346329323932,-0.0077470447946909994,-0.00015899350200470068,0.03424573287977629,0.060818242241885215,-0.062095390400516697
0.04943227767944336,0.7116848631396002,0.09757828906560115,2.532674569782,-0.006115848673900017,0.005581849928100007,0.0015445230275999986,0.23236802220344543,0.04924466833472252,0.7205165028572083,1.4822601356010394,0.14644774988285497,-1.5789508178956526,-0.0031257398200757575,-1.0172526041666666e-05,0.001191110321969697,0.04876767434487909,-0.0036291572864029426,0.025605344360387375
0.05810260772705078,0.7301850101196,0.06843799984560077,2.318230331802,-0.006285552143900018,0.004945744378100008,4.4647152599981806e-05,0.23233571648597717,0.04924935847520828,0.7205256223678589,1.4826970240008965,0.14629744430620867,-1.578935980800494,-0.003726007809492383,0.0005409414013089149,0.001051806632568883,0.05038890070599739,-0.017335623421599774,0.0017112491770481463
0.06625795364379883,0.7357319404596,0.10688396530560107,2.554742189202,-0.006044555138900011,0.005380623643100007,0.00140690729759998,0.23229840397834778,0.04926979914307594,0.720535397529602,1.4831498222417638,0.1461914720973569,-1.5790743945167276,-0.004575220721510846,0.0025064133485353446,0.0011986201251242472,0.05552164745549584,-0.012994201586734836,-0.016972145344495697
0.0742635726928711,0.7101012968196001,0.09589686190560119,2.227246439922,-0.005964448773900016,0.005730877143100006,0.00027999490759998826,0.23225964605808258,0.0492948479950428,0.7205471992492676,1.4836396180479157,0.14593531455132028,-1.5792957564037997,-0.004841339567574007,0.0031289088093394484,0.001474179522306272,0.06118150303549445,-0.03199721901160118,-0.027650814473587283
